controller,relative_error,joint_1_rmse_rad,joint_2_rmse_rad,overall_joint_rmse_rad,joint_1_rmse_deg,joint_2_rmse_deg,overall_joint_rmse_deg,end_effector_rmse_m,maximum_end_effector_error_m,control_effort_nm2_s,saturation_fraction,absolute_mechanical_work_j
pid,-0.3,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,-0.3,0.008654388082994824,0.0030960139249251095,0.006499374405064417,0.4958599114239186,0.17738853121194167,0.3723867228855415,0.008518604429942315,0.01512864552437517,1441.6439083275052,0.0,53.94999058304488
computed_torque,-0.3,0.02900046168983942,0.06350559002948336,0.049365913053526396,1.6616040587586303,3.6386022841774777,2.828458469776841,0.03800832258862682,0.052026061090609546,1436.7426540846957,0.0,54.064148556890416
pid,-0.2,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,-0.2,0.006490062528429478,0.0024247108335225163,0.004898986336433581,0.3718531916550129,0.13892569730048815,0.2806912409699014,0.006441784005412802,0.012492451094352494,1442.5306747639374,0.0,53.86167504566225
computed_torque,-0.2,0.01799577492265529,0.03674435489006637,0.028930913668202822,1.0310819521355137,2.1052964561316907,1.6576192506453686,0.022424369103370676,0.030459294427610667,1441.1830985526572,0.0,53.832395324612136
pid,-0.1,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,-0.1,0.004616382778946111,0.00180193248929559,0.003504136887860492,0.2644992498504866,0.1032431266041397,0.20077225451051323,0.004628635700307895,0.009856931731430846,1443.4302908046204,0.0,53.772834684351366
computed_torque,-0.1,0.008430157373850987,0.01619381385163176,0.012909437640912066,0.48301243815275124,0.9278371879189917,0.7396562927115833,0.010055530738409734,0.013572447815814077,1444.2019853629622,0.0,53.64741161276258
pid,0.0,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,0.0,0.0035353623665365787,0.001301787755065879,0.0026639668186712244,0.20256134265192874,0.07458694418708502,0.15263405547275383,0.0035192802498800035,0.007221443829309791,1444.3426263941205,0.0,53.6834719707644
computed_torque,0.0,2.911393171332941e-05,0.00011972907311895604,8.712827316586942e-05,0.001668105412205857,0.006859970574729417,0.004992082328667262,3.720699695692052e-05,0.00010135414212973587,1446.3488036187134,0.0,53.496763566539656
pid,0.1,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,0.1,0.003964068963909741,0.0011082930960758539,0.0029105116678551425,0.22712442133082522,0.06350051686863349,0.16676003479168172,0.00379666992038995,0.0075840024822376555,1445.2675519789661,0.0,53.622869358537386
computed_torque,0.1,0.007523050721047379,0.013072602575781552,0.010665112054164795,0.4310390553788656,0.7490049548441319,0.6110659087377426,0.008335080232508313,0.011144478347295705,1447.9384021834949,0.0,53.41544302231661
pid,0.2,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,0.2,0.00556642647655025,0.0013615609090056337,0.004052095249853587,0.3189327440762068,0.07801169363601873,0.23216795600161935,0.005248481811461897,0.010189842739184133,1446.2049385368782,0.0,53.58057184798925
computed_torque,0.2,0.014282705876678905,0.023830783332373092,0.019645634647348843,0.8183387667603996,1.365403307435686,1.12561195114907,0.015359573128599514,0.02046146518288362,1449.1591913727684,0.0,53.386972876633536
pid,0.3,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645002,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887
pid_gravity,0.3,0.007638122125452375,0.001891305146581782,0.005564078753972291,0.43763216119391496,0.10836380267050762,0.3187982294810222,0.007198217784079556,0.013659091108325746,1447.154657606269,0.0,53.5458333214577
computed_torque,0.3,0.02040299225399473,0.032851365970571894,0.02734496607283523,1.1690053455920086,1.882244621353463,1.566751146901884,0.021361480878313285,0.02836883388252302,1450.1283946132307,0.0,53.37656172415845
