experiment,controller,payload_mass_kg,relative_error,joint_1_rmse_rad,joint_2_rmse_rad,overall_joint_rmse_rad,joint_1_rmse_deg,joint_2_rmse_deg,overall_joint_rmse_deg,end_effector_rmse_m,maximum_end_effector_error_m,control_effort_nm2_s,saturation_fraction,absolute_mechanical_work_j,recovered,recovery_time_s,post_disturbance_peak_m,source_npz,source_yaml,configuration_sha256,rmse_ratio_to_own_nominal
nominal,pid,,,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/nominal/20260907T024619_815442Z/pid.npz,results/nominal/20260907T024619_815442Z/pid.yaml,7591e764aa27d8a39abc3f731cdadaf199445f00c4871e82064db364896b05b6,1.0
nominal,pid_gravity,,,0.0035353623665365787,0.001301787755065879,0.0026639668186712244,0.20256134265192874,0.07458694418708502,0.15263405547275383,0.0035192802498800035,0.007221443829309791,1444.3426263941205,0.0,53.6834719707644,,,,results/nominal/20260907T024619_815442Z/pid_gravity.npz,results/nominal/20260907T024619_815442Z/pid_gravity.yaml,34f4f2c3041cf94bcf06d1069fc07b65b8bbbebbea65289057b91fddac858141,1.0
nominal,computed_torque,,,2.911393171332941e-05,0.00011972907311895604,8.712827316586942e-05,0.001668105412205857,0.006859970574729417,0.004992082328667262,3.720699695692052e-05,0.00010135414212973587,1446.3488036187134,0.0,53.496763566539656,,,,results/nominal/20260907T024619_815442Z/computed_torque.npz,results/nominal/20260907T024619_815442Z/computed_torque.yaml,bfaa416c1753f796513aca722ba7028d8d436798c34614c1264d2b5f95c6da14,1.0
payload,pid,0.0,,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/payload/20260911T014147_244577Z/pid_payload_0.0kg.npz,results/payload/20260911T014147_244577Z/pid_payload_0.0kg.yaml,919e113ed097835c696b36436e5b06eb1d308e4702035b136cd20f78b883c247,1.0
payload,pid_gravity,0.0,,0.0035353623665365787,0.001301787755065879,0.0026639668186712244,0.20256134265192874,0.07458694418708502,0.15263405547275383,0.0035192802498800035,0.007221443829309791,1444.3426263941205,0.0,53.6834719707644,,,,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.0kg.npz,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.0kg.yaml,93f3fea25caadabf51f737dc5a4cd49e3cae806f7efa337abd2eb84b5a4ca038,1.0
payload,computed_torque,0.0,,2.911393171332941e-05,0.00011972907311895604,8.712827316586942e-05,0.001668105412205857,0.006859970574729417,0.004992082328667262,3.720699695692052e-05,0.00010135414212973587,1446.3488036187134,0.0,53.496763566539656,,,,results/payload/20260911T014147_244577Z/computed_torque_payload_0.0kg.npz,results/payload/20260911T014147_244577Z/computed_torque_payload_0.0kg.yaml,10547b949d83ca8c0ca34c73d4d140d135f2bf9eae182ac74ee7ffef5b23eae3,1.0
payload,pid,0.25,,0.0283795232926918,0.01886788120081326,0.024097658426997036,1.6260269092644535,1.0810499611608275,1.3806941240147923,0.03110394835612956,0.06797197218017641,1903.538230442243,0.01275,61.93033351695303,,,,results/payload/20260911T014147_244577Z/pid_payload_0.25kg.npz,results/payload/20260911T014147_244577Z/pid_payload_0.25kg.yaml,171cfe156b6fbd520a48634bb11ee416ddf869d51e0597365a0b2c05dd575b49,1.2382496354628711
payload,pid_gravity,0.25,,0.007462996092006001,0.0037743820209927793,0.005913639755247634,0.4275981785945709,0.21625616007294435,0.33882659953646654,0.0077845447404614404,0.015166917113515062,1907.2403248610965,0.0,61.07662704630266,,,,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.25kg.npz,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.25kg.yaml,dca86c0453e3ea178dff616111dda8e79d6d63a970f58fccfc259de8a426123c,2.219862392354171
payload,computed_torque,0.25,,0.015566197977557582,0.09667223786883346,0.06923809678942966,0.8918774471791272,5.5389112259689295,3.967050727552615,0.02853943380651897,0.04175325368323766,1905.3161056040813,0.0,60.63647060847389,,,,results/payload/20260911T014147_244577Z/computed_torque_payload_0.25kg.npz,results/payload/20260911T014147_244577Z/computed_torque_payload_0.25kg.yaml,7e5bc5e62ae5aec78f8cf9d2100e1925d7d593199d65c6acefa113cc66abf5ff,794.6685303588933
payload,pid,0.5,,0.09216831545089436,0.02333511107383743,0.06722918184049219,5.280855480166662,1.3370033789998752,3.8519483795777583,0.08191011189374475,0.24952322779286687,2425.651545475944,0.32625,78.09524284364758,,,,results/payload/20260911T014147_244577Z/pid_payload_0.5kg.npz,results/payload/20260911T014147_244577Z/pid_payload_0.5kg.yaml,734b83f0b7c6a6a82f5c4514d966b4eb8aad3b059d3af80634fb10411fd97030,3.4545476756029534
payload,pid_gravity,0.5,,0.07219428427175362,0.006467737779946497,0.05125351848166574,4.136427793739182,0.370574077788247,2.93661029419521,0.060548039243018756,0.21326210371055426,2429.3360732788756,0.25275000000000003,74.6337158681059,,,,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.5kg.npz,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.5kg.yaml,bab2ccaf05dde27c90f9fa73a777dcbe43352d7c1fe9322a798f17834cfe183a,19.23954837666889
payload,computed_torque,0.5,,0.16402896901208838,0.33360421637640036,0.26286619776920844,9.398167642274828,19.11411362613684,15.061123708826859,0.06859495387689372,0.16305268054821886,2423.34359630587,0.24375000000000002,74.33952091030912,,,,results/payload/20260911T014147_244577Z/computed_torque_payload_0.5kg.npz,results/payload/20260911T014147_244577Z/computed_torque_payload_0.5kg.yaml,c5cf68edaec38f40c895d6ff98d1f55e1253f7e1d82a407ea84ae537297deaab,3017.0022682393806
payload,pid,0.75,,0.48805158743975713,0.01970012482987055,0.34538561559565484,27.963296144958143,1.1287340086324615,19.789138078158846,0.4014212540255351,0.7800652786137995,3072.730186258799,0.831875,110.31538142050069,,,,results/payload/20260911T014147_244577Z/pid_payload_0.75kg.npz,results/payload/20260911T014147_244577Z/pid_payload_0.75kg.yaml,284796487457ad0644ec8c6fe2d7bb13794b99b0e06fee1b39dd5487b17544c9,17.747517415480857
payload,pid_gravity,0.75,,0.45383181539085937,0.006201172035972554,0.32093751042499086,26.002647630656558,0.3553009856957753,18.388364834787836,0.3718613009887808,0.8255793473173471,3308.659117961818,0.901125,61.71857565939929,,,,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.75kg.npz,results/payload/20260911T014147_244577Z/pid_gravity_payload_0.75kg.yaml,a05307fe14915e563f548bf6730dc6e4156418d83d8d791ecc07d1ccddcac2d6,120.47353900041186
payload,computed_torque,0.75,,0.4005084118457268,0.59789953833517,0.5088668027591291,22.94744165824753,34.25712011942561,29.155920132414213,0.1536457027452973,0.39421024173397673,2759.972721679589,0.536875,96.66904727418019,,,,results/payload/20260911T014147_244577Z/computed_torque_payload_0.75kg.npz,results/payload/20260911T014147_244577Z/computed_torque_payload_0.75kg.yaml,7993f2eb9f05460a4be036af7e4fcaa0471c92c2acceacd972a542f7be147577,5840.4325515596975
payload,pid,1.0,,0.801719969356963,0.019736248443998693,0.56707337654327,45.93517059551167,1.1308037392627632,32.490911150162304,0.6422893391688095,1.2463161499699367,3353.37309562141,0.955125,73.41549201530738,,,,results/payload/20260911T014147_244577Z/pid_payload_1.0kg.npz,results/payload/20260911T014147_244577Z/pid_payload_1.0kg.yaml,4b3060af2d5a83386b295e044174e3beead3df84bc89ace214d35de4a9d26a9e,29.138864421729068
payload,pid_gravity,1.0,,0.8034477831032232,0.008216325991964934,0.5681530815661775,46.034167030957065,0.47076080244323026,32.55277369109398,0.6356000025563854,1.2298497926410261,3370.874420401942,0.92375,57.820160845504496,,,,results/payload/20260911T014147_244577Z/pid_gravity_payload_1.0kg.npz,results/payload/20260911T014147_244577Z/pid_gravity_payload_1.0kg.yaml,677438c963597c54651adf06dee110007bfb5fc03ff7dc8e0571b54adbb1cbc8,213.27333267971028
payload,computed_torque,1.0,,0.6129895738291768,0.7773659799190772,0.7000193155759429,35.12171546593481,44.53978978641463,40.108152360138014,0.2645652930671375,0.5867778029011356,2961.6209555675273,0.643125,119.35621116653945,,,,results/payload/20260911T014147_244577Z/computed_torque_payload_1.0kg.npz,results/payload/20260911T014147_244577Z/computed_torque_payload_1.0kg.yaml,d9b68c6021260a584d5c2335c690da9605f6fcca493f56068c0a6543424254e1,8034.353145543115
model_uncertainty,pid,,-0.3,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_-0.3.npz,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_-0.3.yaml,c2c26aa87725dbd7bc72883579adbfe3a6a75864def114ddc58eb4bf19fe4baf,1.0
model_uncertainty,pid_gravity,,-0.3,0.008654388082994824,0.0030960139249251095,0.006499374405064417,0.4958599114239186,0.17738853121194167,0.3723867228855415,0.008518604429942315,0.01512864552437517,1441.6439083275052,0.0,53.94999058304488,,,,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_-0.3.npz,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_-0.3.yaml,795288cbd9eace4f6df709a5517fc006023be3f73f9538f0c93f507f8c8defea,2.43973549501877
model_uncertainty,computed_torque,,-0.3,0.02900046168983942,0.06350559002948336,0.049365913053526396,1.6616040587586303,3.6386022841774777,2.828458469776841,0.03800832258862682,0.052026061090609546,1436.7426540846957,0.0,54.064148556890416,,,,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_-0.3.npz,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_-0.3.yaml,10f2206327ec8e81fef16e2b43045767170390dd2db980bb70330800951fa000,566.5889069044972
model_uncertainty,pid,,-0.2,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_-0.2.npz,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_-0.2.yaml,bf60e638e373f835a1ed7c1880da559dfbdef53b79086654c8c8410e19d95e30,1.0
model_uncertainty,pid_gravity,,-0.2,0.006490062528429478,0.0024247108335225163,0.004898986336433581,0.3718531916550129,0.13892569730048815,0.2806912409699014,0.006441784005412802,0.012492451094352494,1442.5306747639374,0.0,53.86167504566225,,,,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_-0.2.npz,results/model_uncertainty/20260911T025328_299278Z/pid_gravity_model_error_-0.2.yaml,70d17b40b1098801acb688bdd59cb94ab5c5003c1968ce676f74278da06c43c9,1.8389817403495945
model_uncertainty,computed_torque,,-0.2,0.01799577492265529,0.03674435489006637,0.028930913668202822,1.0310819521355137,2.1052964561316907,1.6576192506453686,0.022424369103370676,0.030459294427610667,1441.1830985526572,0.0,53.832395324612136,,,,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_-0.2.npz,results/model_uncertainty/20260911T025328_299278Z/computed_torque_model_error_-0.2.yaml,80874990fa2a018698e10c7af6448aa9989ac8dc3cef4778a80a579de2d56653,332.0496621472795
model_uncertainty,pid,,-0.1,0.023707598470188582,0.013979126899165974,0.019461066441573447,1.3583453347326129,0.8009449726000119,1.1150369719258377,0.025366113605645006,0.054107412955028196,1440.9704616205918,0.0,54.45157467791887,,,,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_-0.1.npz,results/model_uncertainty/20260911T025328_299278Z/pid_model_error_-0.1.yaml,011a02970eea9710d3c51798d6506c63bf682addd1cc86d183d4be46e072811f,1.0
